,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,195493.73,244094.14,4881.935,1386.523,27.484,461.697,74.551,38.258,1470.313,160.014,0.0,0.0,2.652,1925.473,828.074,0.0,5.854,153971.53,223581.1,73.535,332.105,6.227,242.04,436.125,0.0,16.37,0.0,48.065,0.0,0.0,9.225
03.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,205201.45,242741.9,14367.886,2528.011,633.513,219.869,7145.022,2853.868,3196.766,568.936,1454.747,0.0,9166.767,5034.897,721.853,587.151,2740.13,191957.2,235217.44,12973.264,1830.268,0.825,0.005,7709.606,3155.373,3614.999,308.777,3573.527,390.322,267.833,1852.856
05.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,184764.2,218860.3,14616.753,3418.984,366.739,1033.443,3665.613,1831.295,4321.18,692.236,1024.25,0.0,8987.232,3265.149,509.9,167.377,1623.557,178052.4,218668.78,15506.913,2259.25,1728.142,4146.832,4993.474,2069.041,3466.328,1275.726,3579.375,575.777,188.273,1339.896
12.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,181533.38,223733.38,10263.99,604.598,12950.101,43198.504,6405.52,3317.536,3806.123,539.612,745.003,1826.53,19124.885,3450.957,1282.423,451.409,3260.836,183170.86,225097.73,10238.777,739.488,14627.507,44185.773,4849.931,3423.777,5098.64,2062.685,4138.004,1527.155,693.85,3243.074
13.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,169182.84,211033.05,3411.112,45.981,13908.192,43157.45,4255.673,1755.414,1612.047,44.215,361.792,2263.498,17425.533,42.021,123.069,100.617,19.622,166860.19,209735.72,5462.698,607.173,12600.216,41521.55,7826.038,2914.214,5243.2,1156.555,2774.84,1084.68,506.692,1796.954
17.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,257538.95,282645.3,21905.607,1386.337,766.932,2240.418,5250.922,3721.692,5313.514,1538.347,1176.776,4.233,6833.184,4850.859,1704.924,236.197,3818.121,251351.33,296593.2,19256.045,1936.112,8.074,75.421,5012.174,3342.749,5956.206,991.636,4201.17,1364.08,284.107,2494.782
18.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,198850.11,233585.58,13554.302,1041.106,15597.806,50092.453,6638.81,3391.761,4981.202,870.591,872.994,2344.494,21024.682,4794.682,1611.922,657.459,3527.728,188291.75,225820.73,15022.994,844.167,13092.84,44937.496,5954.035,3427.51,5461.192,1694.907,4386.129,1761.572,732.074,3509.163
19.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,235375.75,279359.3,11900.159,759.227,15608.626,50548.562,8720.104,3735.832,3734.907,621.58,1088.808,1922.724,22117.34,4792.002,1760.702,557.332,3788.652,236396.92,278672.16,11770.511,1046.092,15289.688,51788.676,7539.274,3785.91,4885.07,1532.413,4574.752,2237.746,433.353,4226.914
21.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,225513.1,284466.62,7063.394,1147.218,0.039,0.774,7191.88,3334.033,4565.837,1150.492,833.399,0.0,3631.051,3997.266,1486.676,509.524,2064.985,222480.64,282999.53,11406.603,951.553,85.753,50.572,8439.472,3745.175,4143.256,1130.018,3227.375,1253.41,565.327,1473.947
34.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,199549.66,240292.89,13625.585,1654.643,6770.504,18334.67,6785.86,2583.23,3552.02,125.403,1185.693,384.602,17628.467,3708.923,823.803,162.73,3959.806,196820.34,239658.08,18867.387,1580.254,793.093,1072.765,6006.808,3214.981,4550.872,1054.262,4462.498,1804.916,484.151,3170.972
39.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_denois_new_cycle_2.nii,222177.44,263506.8,15096.348,563.624,17913.113,48738.88,7389.38,4109.443,5079.063,1186.521,1134.609,3051.082,24191.564,3978.689,1222.258,608.158,4464.802,224473.9,263791.84,14111.439,910.77,17772.047,47561.78,7500.466,4115.659,5780.04,1456.168,3966.831,1514.172,655.152,4105.212
